Sentence #,Word,POS,Tag
Sentence: 1,Issi,ADJ,
,oosossi,NP,
,go7ettiyo,ADJCP,
,doonaa,NN,
,woykko,CJ,
,issi,ADJ,
,qofawu,NP,
,immiyo,ADJCP,
,Sunttay,NP,
,maayettanawu,VI,
,biyo,ADJ,
,buussaa,NV,
,kawushanne,NC,
,wodiyaara,NP,
,elle,ADV,
,hemettana,VC,
,hanotaa,NN,
,medhdhees,VV,
,.,PUN,
,..,..,
Sentence: 2,Hegassi,ADV,
,maayettiyo,ADJCP,
,doonaynne,NC,
,doonay,NP,
,immiyo,VC,
,qofay,NP,
,maacettana,ADV,
,bessees,VV,
,.,PUN,
,..,..,
Sentence: 3,Ayi,ADJ,
,oosuwa,NN,
,oottiya,VC,
,luxida,ADJCP,
,eranchchay,NP,
,ooso,NN,
,sohuwan,ADV,
,maayettiyo,VC,
,Sunttaa,NN,
,koshshees,VV,
,.,PUN,
,..,..,
Sentence: 4,Ha,ADJ,
,sunttay,NP,
,sunttetti,VC,
,simmidi,ADV,
,xeesi,VC,
,meezetishin,VC,
,takkidi,ADV,
,erettiyabappe,VC,
,attin,CJ,
,ha7i,ADV,
,sunttosaara,VC,
,ekettiggiyaaba,VI,
,gidenna,VV,
,.,PUN,
,..,..,
Sentence: 5,Hegaadaanikka,ADV,
,ha,ADJ,
,korssiyan,NP,
,hachchi,ADV,
,gakkanawu,VI,
,pokilooriyanne,NC,
,haasayettida,VC,
,hayyo,ADJ,
,doonaa,NN,
,xeelliyagan,ADV,
,sunttiyagaan,ADV,
,merettida,VC,
,metota,NN,
,akeekana,NP,
,danddayettees,VV,
,.,PUN,
,..,..,
Sentence: 6,Ay,ADJ,
,ogiyaaninne,NC,
,sunttaynne,NC,
,sunttettiyabaa,VC,
,giddon,POP,
,eeshshaara,NP,
,gattida,VC,
,dabboti,NP,
,xayikkonne,CJ,
,sunttiyoobay,VC,
,issibaassi,PPC,
,cenggurssan,NP,
,malaatidi,VC,
,issibaa,PP,
,harabaappe,NP,
,shaakkiyo,VC,
,woykko,CJ,
,dummayo,ADJCP,
,miishsha,NN,
,giyogee,NV,
,daro,ADJ,
,pilggeettaa,NN,
,oottiya,VC,
,xaafanchchati,NP,
,qonccissiyoobaa,VV,
,.,PUN,
,..,..,
Sentence: 7,Issito,ADV,
,issito,ADV,
,sunttay,NP,
,koshshiyoynne,VC,
,sunttettiyoy,VC,
,issi,ADJ,
,doonawu,NP,
,ubba,ADJ,
,wode,ADV,
,go7ettiyo,VC,
,qaalay,NP,
,de7ana,VC,
,koshshiyo,VC,
,gishshaassa,VV,
,.,PUN,
,..,..,
Sentence: 8,Hagee,ADJ,
,qassi,ADV,
,issi,AN,
,dere,ADJ,
,assay,NN,
,ba,ADJ,
,issippetettaa,NN,
,duussan,NP,
,hachchi,ADV,
,hachchi,ADV,
,poliyobawu,VI,
,issoy-issuwara,PP,
,maayettiyonne,VC,
,issibaa,PP,
,harabaappe,NP,
,shaakkiyo,VC,
,issi-mala,ADJCP,
,gidida,VC,
,maacettida,VC,
,Sunttaa,NN,
,woykko,CJ,
,qofaa,NN,
,koshshiyo,VC,
,gishsha,VV,
,.,PUN,
,..,..,
Sentence: 9,Hagaassi,PPC,
,qassi,ADV,
,sunttiyobaanne,NC,
,sunttettiyaba,VC,
,shaakkidinne,VC,
,dummayidi,VC,
,erana,NN,
,bessees,VV,
,.,PUN,
,..,..,
Sentence: 10,Haga,ADJ,
,mala,NN,
,buussay,NP,
,qassi,ADV,
,doonay,NP,
,ba,ADJ,
,shenedan,NP,
,hanees,VV,
,giyo,ADJ,
,eeshshaa,NN,
,sugiyaba,ADV,
,milatees,VV,
,.,PUN,
,..,..,
Sentence: 11,Qaalay,NP,
,ba,ADJ,
,xeessaywu,NP,
,go7ettiyo,VC,
,sunttaara,NP,
,woykko,CJ,
,qofaara,NP,
